City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Boke,GN,80.06,overcast clouds,10.9409,-14.2967,Hôtel Rio Nunez - Boké
7,Sinnamary,GF,83.26,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
14,Avarua,CK,75.25,scattered clouds,-21.2078,-159.775,Paradise Inn
17,Port Keats,AU,80.26,broken clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
20,Maputo,MZ,80.28,broken clouds,-25.9653,32.5892,Pestana Rovuma
30,Santa Lucia,ES,75.76,few clouds,27.9117,-15.5407,Las Tirajanas
33,Yanai,JP,77.02,clear sky,33.9667,132.1167,Yanai City Hotel
35,Bac Lieu,VN,81.55,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
41,Barao De Melgaco,BR,84.72,few clouds,-16.1944,-55.9675,Tuiuiu Pantanal Hotel
45,Cap Malheureux,MU,76.46,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
53,Saint-Joseph,RE,77.38,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
63,Srikakulam,IN,83.01,clear sky,18.3,83.9,Sriram residency
65,Alyangula,AU,80.47,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
69,Asyut,EG,86.18,clear sky,27.181,31.1837,Florence Hotel Assiut
70,Atuona,PF,77.65,broken clouds,-9.8,-139.0333,Villa Enata
71,Hithadhoo,MV,82.94,scattered clouds,-0.6,73.0833,Scoop Guest House
78,Warri,NG,83.43,overcast clouds,5.5167,5.75,BON Hotel Delta
80,Panalingaan,PH,81.34,overcast clouds,8.7842,117.4231,I Love Panalingaan View Deck
87,Port-Gentil,GA,82.36,light rain,-0.7193,8.7815,Fengshui Residence
88,Le Port,RE,78.8,scattered clouds,-20.9373,55.2919,KORBEY D'OR OUEST
89,Mana,GF,84.33,broken clouds,5.6592,-53.7767,LE SAMANA
98,Monkey Bay,MW,82.08,few clouds,-14.0728,34.9201,Monkey Bay Beach Lodge
104,Buchanan,LR,85.96,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
105,Saint-Philippe,RE,78.39,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
112,Butaritari,KI,80.22,moderate rain,3.0707,172.7902,Isles Sunset Lodge
115,Narasannapeta,IN,82.65,clear sky,18.4167,84.05,G.lingaraju home
118,Georgetown,MY,80.89,scattered clouds,5.4112,100.3354,Cititel Penang
122,Luwuk,ID,77.63,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
126,Pedernales,DO,80.89,few clouds,18.0384,-71.744,Hotel Costa Marina
131,Lata,PT,75.49,overcast clouds,40.1629,-8.3327,Casa Maquia
132,Harper,LR,80.92,light rain,4.375,-7.7169,Screensaver
133,Owando,CG,88.9,overcast clouds,-0.4819,15.8999,Exaunel Hotel Owando
137,Bull Savanna,JM,76.35,clear sky,17.8868,-77.5902,Big Red's
139,Karratha,AU,75.33,clear sky,-20.7377,116.8463,ibis Styles Karratha
140,San Patricio,US,76.89,heavy intensity rain,28.017,-97.5169,"Motel 6 Sinton, TX"
