City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Yerbogachen,RU,61.2767,108.0108,35.28,71,98,3.31,overcast clouds
1,Vigrestad,NO,58.5667,5.7,59.59,96,100,21.61,light rain
2,Albany,US,42.6001,-73.9662,46.54,94,6,3.78,clear sky
3,Mataura,NZ,-46.1927,168.8643,49.48,91,96,3.02,overcast clouds
4,Airai,TL,-8.9266,125.4092,61.93,77,22,0.51,few clouds
5,Boke,GN,10.9409,-14.2967,80.06,82,100,0.25,overcast clouds
6,Kapuskasing,CA,49.4169,-82.4331,44.6,93,75,4.61,broken clouds
7,Sinnamary,GF,5.3833,-52.95,83.26,73,58,9.62,broken clouds
8,New Norfolk,AU,-42.7826,147.0587,57.76,77,100,2.15,overcast clouds
9,Codrington,AU,-38.2667,141.9667,54.57,96,95,8.86,overcast clouds
10,Rona De Sus,RO,47.9,24.05,60.62,53,71,2.44,broken clouds
11,Clyde River,CA,70.4692,-68.5914,34.47,82,100,4.74,overcast clouds
12,Nanortalik,GL,60.1432,-45.2371,39.43,60,17,9.53,few clouds
13,Yellowknife,CA,62.456,-114.3525,44.29,100,90,0.0,fog
14,Avarua,CK,-21.2078,-159.775,75.25,83,41,8.05,scattered clouds
15,Port Elizabeth,ZA,-33.918,25.5701,64.09,100,90,14.97,light intensity drizzle
16,Dunedin,NZ,-45.8742,170.5036,49.8,71,99,4.56,overcast clouds
17,Port Keats,AU,-14.25,129.55,80.26,85,68,8.5,broken clouds
18,Ushuaia,AR,-54.8,-68.3,42.46,52,75,8.05,moderate rain
19,Saint Anthony,US,45.0205,-93.218,66.92,86,1,1.99,clear sky
20,Maputo,MZ,-25.9653,32.5892,80.28,69,75,8.01,broken clouds
21,Graham,US,47.0529,-122.2943,53.38,96,90,0.0,overcast clouds
22,Bethel,US,41.3712,-73.414,52.92,91,1,3.44,clear sky
23,Hilo,US,19.7297,-155.09,73.13,91,90,6.91,light rain
24,Busselton,AU,-33.65,115.3333,53.1,83,56,11.05,broken clouds
25,Talnakh,RU,69.4865,88.3972,26.47,94,100,3.24,overcast clouds
26,Sitka,US,57.0531,-135.33,51.69,76,90,31.07,moderate rain
27,Aklavik,CA,68.2191,-135.0107,32.83,97,100,4.21,overcast clouds
28,Gorele,TR,41.0308,39.0031,65.64,80,70,11.1,broken clouds
29,Arraial Do Cabo,BR,-22.9661,-42.0278,71.56,83,75,18.41,broken clouds
30,Santa Lucia,ES,27.9117,-15.5407,75.76,71,20,25.32,few clouds
31,Cape Town,ZA,-33.9258,18.4232,70.27,51,20,20.71,few clouds
32,Pevek,RU,69.7008,170.3133,20.86,87,78,5.5,broken clouds
33,Yanai,JP,33.9667,132.1167,77.02,80,0,5.93,clear sky
34,Rikitea,PF,-23.1203,-134.9692,72.99,74,8,19.84,light rain
35,Bac Lieu,VN,9.285,105.7244,81.55,81,94,7.54,overcast clouds
36,Arman,RU,59.7,150.1667,38.01,94,100,15.35,moderate rain
37,Mar Del Plata,AR,-38.0023,-57.5575,57.13,74,0,3.0,clear sky
38,Bredasdorp,ZA,-34.5322,20.0403,59.29,88,100,11.5,light rain
39,Punta Arenas,CL,-53.15,-70.9167,37.51,70,0,13.8,light rain
40,Chokurdakh,RU,70.6333,147.9167,11.17,93,62,7.05,broken clouds
41,Barao De Melgaco,BR,-16.1944,-55.9675,84.72,39,22,9.37,few clouds
42,Hasaki,JP,35.7333,140.8333,64.8,93,100,48.52,overcast clouds
43,Lagoa,PT,39.05,-27.9833,70.9,84,52,9.01,broken clouds
44,Bluff,NZ,-46.6,168.3333,49.8,79,92,19.24,overcast clouds
45,Cap Malheureux,MU,-19.9842,57.6142,76.46,64,74,10.0,broken clouds
46,Vardo,NO,70.3705,31.1107,47.95,81,75,9.22,broken clouds
47,Vaini,TO,-21.2,-175.2,71.76,94,75,6.91,broken clouds
48,Qasigiannguit,GL,68.8193,-51.1922,26.85,73,100,4.76,overcast clouds
49,Kapaa,US,22.0752,-159.319,73.72,70,40,8.05,light rain
50,Kang,BW,-23.6752,22.7876,91.81,15,24,15.35,few clouds
51,Mackay,AU,-21.15,149.2,71.58,94,37,8.05,scattered clouds
52,Puerto Ayora,EC,-0.7393,-90.3518,68.61,93,70,7.67,broken clouds
53,Saint-Joseph,RE,-21.3667,55.6167,77.38,73,28,10.58,scattered clouds
54,Payson,US,40.0444,-111.7321,51.62,70,1,4.0,clear sky
