City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Puerto Ayora,EC,-0.7393,-90.3518,76.96,84,88,10.11,overcast clouds
1,Mataura,NZ,-46.1927,168.8643,41.49,94,17,2.73,few clouds
2,Lasa,IT,46.6166,10.7002,65.28,92,100,3.83,overcast clouds
3,Vila Velha,BR,-20.3297,-40.2925,80.96,68,20,17.27,few clouds
4,Jamestown,US,42.097,-79.2353,70.3,54,97,5.01,overcast clouds
5,Cape Town,ZA,-33.9258,18.4232,61.27,74,20,16.11,few clouds
6,Tasiilaq,GL,65.6145,-37.6368,25.75,56,100,7.65,overcast clouds
7,Boddam,GB,57.4667,-1.7833,50.43,93,100,10.51,overcast clouds
8,Turukhansk,RU,65.8167,87.9833,33.21,81,100,5.32,overcast clouds
9,Rikitea,PF,-23.1203,-134.9692,73.06,70,54,20.24,broken clouds
10,Ushuaia,AR,-54.8,-68.3,46.06,46,75,21.85,broken clouds
11,Portland,US,45.5234,-122.6762,58.89,92,90,1.01,overcast clouds
12,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,104.76,18,92,10.6,overcast clouds
13,Port Alfred,ZA,-33.5906,26.891,61.3,75,50,7.7,scattered clouds
14,Hithadhoo,MV,-0.6,73.0833,82.58,74,21,9.62,few clouds
15,Bambous Virieux,MU,-20.3428,57.7575,72.21,64,75,12.66,light rain
16,Aracati,BR,-4.5617,-37.7697,84.6,62,32,14.25,scattered clouds
17,Aksarka,RU,66.5606,67.7975,35.49,94,99,4.94,overcast clouds
18,Luanda,AO,-8.8368,13.2343,73.4,83,20,9.22,few clouds
19,Charters Towers,AU,-20.1,146.2667,64.24,83,87,11.16,overcast clouds
20,Nioro,GM,13.35,-15.75,84.81,66,2,2.26,clear sky
21,Okakarara,NA,-20.5833,17.4333,77.83,16,95,19.06,overcast clouds
22,Saint George,US,37.1041,-113.5841,86.47,34,1,3.0,clear sky
23,Hilo,US,19.7297,-155.09,79.61,81,78,1.01,light rain
24,Tongliao,CN,43.6125,122.2653,58.17,83,2,10.98,clear sky
25,Busselton,AU,-33.65,115.3333,56.05,81,91,11.16,overcast clouds
26,Batsfjord,NO,70.6345,29.7185,53.6,62,0,25.32,clear sky
27,Poum,NC,-20.2333,164.0167,71.28,78,25,12.01,scattered clouds
28,Kavieng,PG,-2.5744,150.7967,81.39,78,87,10.2,overcast clouds
29,Moose Factory,CA,51.2585,-80.6094,48.2,76,90,11.5,overcast clouds
30,Faanui,PF,-16.4833,-151.75,79.34,74,21,18.43,few clouds
31,Verkhnevilyuysk,RU,63.4453,120.3167,27.86,93,9,6.22,clear sky
32,Vaini,TO,-21.2,-175.2,66.36,100,20,4.61,few clouds
