City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Geraldton,AU,2021-09-27 20:02:07,-28.7667,114.6,50.41,93,40,8.05
1,Porto Santo,PT,2021-09-27 20:02:08,33.072,-16.3415,71.98,73,20,4.61
2,Punta Arenas,CL,2021-09-27 19:57:51,-53.15,-70.9167,50.11,57,75,33.38
3,Jamestown,US,2021-09-27 20:00:00,42.097,-79.2353,77.02,56,100,10.0
4,Tiksi,RU,2021-09-27 20:02:08,71.6872,128.8694,31.96,98,100,3.76
5,Tuktoyaktuk,CA,2021-09-27 20:02:09,69.4541,-133.0374,28.35,80,89,11.99
6,Gewane,ET,2021-09-27 20:02:09,10.1664,40.6453,88.95,31,76,6.62
7,Castro,BR,2021-09-27 20:01:30,-24.7911,-50.0119,82.65,41,16,2.13
8,Faanui,PF,2021-09-27 20:02:09,-16.4833,-151.75,79.41,74,7,19.17
9,Kavieng,PG,2021-09-27 20:02:10,-2.5744,150.7967,81.88,75,97,9.1
10,Hilo,US,2021-09-27 20:02:10,19.7297,-155.09,81.81,90,95,8.37
11,Rikitea,PF,2021-09-27 20:02:10,-23.1203,-134.9692,73.76,71,29,22.48
12,Chapais,CA,2021-09-27 20:02:11,49.7834,-74.8492,43.2,89,99,9.53
13,Roma,US,2021-09-27 20:02:11,43.2128,-75.4557,76.86,67,40,4.61
14,Mataura,NZ,2021-09-27 20:02:12,-46.1927,168.8643,42.48,63,51,2.66
15,Port Hedland,AU,2021-09-27 20:02:12,-20.3167,118.5667,62.65,77,30,8.05
16,Kudat,MY,2021-09-27 20:02:12,6.8837,116.8477,78.62,87,16,3.27
17,Cape Town,ZA,2021-09-27 20:02:13,-33.9258,18.4232,59.27,60,1,8.23
18,Dom Pedrito,BR,2021-09-27 20:02:13,-30.9828,-54.6731,78.57,67,0,3.09
19,Nikolskoye,RU,2021-09-27 20:02:13,59.7035,30.7861,46.8,97,0,3.44
20,Chipinge,ZW,2021-09-27 20:02:14,-20.1883,32.6236,64.06,68,43,6.08
21,Beni,CD,2021-09-27 20:02:14,0.5,29.4667,62.62,94,92,2.51
22,Saint-Philippe,RE,2021-09-27 20:02:15,-21.3585,55.7679,69.39,81,40,13.4
23,Barrow,US,2021-09-27 20:00:46,71.2906,-156.7887,30.22,80,90,14.97
24,Bandarbeyla,SO,2021-09-27 20:02:15,9.4942,50.8122,77.36,88,2,14.97
25,Coquimbo,CL,2021-09-27 20:01:44,-29.9533,-71.3436,64.67,62,0,6.93
26,Zemio,CF,2021-09-27 20:02:16,5.0314,25.1361,70.99,94,58,2.3
27,Acapulco,MX,2021-09-27 20:00:24,16.8634,-99.8901,85.23,67,75,6.8
28,Kendari,ID,2021-09-27 20:02:16,-3.945,122.4989,73.53,93,93,2.15
29,Dmitriyevka,RU,2021-09-27 20:02:17,54.75,55.3333,40.55,72,100,15.9
30,Marechal Candido Rondon,BR,2021-09-27 20:02:17,-24.5561,-54.0567,94.26,26,0,0.92
31,Ocos,GT,2021-09-27 20:02:17,14.5094,-92.1933,91.58,72,76,6.78
32,Bluff,NZ,2021-09-27 20:02:18,-46.6,168.3333,42.8,71,59,11.1
33,Saint George,US,2021-09-27 20:00:14,37.1041,-113.5841,88.63,33,1,1.01
34,Naze,JP,2021-09-27 20:02:18,28.3667,129.4833,76.71,83,7,9.66
35,Hasaki,JP,2021-09-27 20:02:19,35.7333,140.8333,63.28,73,41,13.96
36,Westport,US,2021-09-27 20:02:19,41.1415,-73.3579,80.76,54,1,1.01
37,Grand Gaube,MU,2021-09-27 20:02:19,-20.0064,57.6608,71.38,71,68,7.0
38,Qaanaaq,GL,2021-09-27 20:02:20,77.484,-69.3632,24.55,68,100,5.99
39,Kropotkin,RU,2021-09-27 20:02:20,45.4375,40.5756,55.87,60,99,4.21
40,Isangel,VU,2021-09-27 20:02:20,-19.55,169.2667,72.57,73,8,9.31
41,Ushuaia,AR,2021-09-27 20:00:51,-54.8,-68.3,44.22,70,100,8.16
42,Port Alfred,ZA,2021-09-27 20:02:21,-33.5906,26.891,64.4,83,100,20.24
43,Wyndham,US,2021-09-27 20:02:21,37.6985,-77.6125,83.82,46,1,3.0
44,Ambilobe,MG,2021-09-27 20:02:22,-13.2,49.05,73.45,66,23,5.01
45,Dzaoudzi,YT,2021-09-27 20:02:22,-12.7887,45.2699,75.09,83,0,3.44
46,Elko,US,2021-09-27 20:02:23,41.0002,-115.5012,78.06,12,0,11.01
47,Ulaanbaatar,MN,2021-09-27 20:00:13,47.9077,106.8832,36.34,88,91,6.02
48,Nagornyy,RU,2021-09-27 20:02:23,52.7959,83.5498,31.35,84,99,8.14
49,Korhogo,CI,2021-09-27 20:02:23,9.45,-5.6333,74.52,82,83,4.43
50,Ponta Do Sol,PT,2021-09-27 20:02:24,32.6667,-17.1,72.23,70,47,5.23
51,Bathsheba,BB,2021-09-27 20:02:24,13.2167,-59.5167,84.56,69,80,8.5
52,Arraial Do Cabo,BR,2021-09-27 20:02:24,-22.9661,-42.0278,72.1,84,0,20.47
53,Yumen,CN,2021-09-27 20:02:25,40.2833,97.2,61.52,21,0,10.78
54,Maur,IN,2021-09-27 20:02:25,30.0833,75.25,81.48,68,27,1.07
55,Agadir,MA,2021-09-27 20:02:25,30.4202,-9.5982,75.65,54,5,1.5
56,Valparaiso,CL,2021-09-27 19:59:41,-33.0393,-71.6273,80.83,38,0,5.75
57,Buraydah,SA,2021-09-27 20:02:26,26.326,43.975,78.12,12,11,9.31
58,Makakilo City,US,2021-09-27 20:02:26,21.3469,-158.0858,83.61,61,75,4.61
59,Inta,RU,2021-09-27 20:02:27,66.0317,60.1659,37.18,73,100,9.22
60,Uvalde,US,2021-09-27 20:02:27,29.3669,-99.767,92.19,25,40,6.91
61,Cherskiy,RU,2021-09-27 20:02:27,68.75,161.3,23.43,89,100,12.62
62,Narsaq,GL,2021-09-27 20:02:28,60.9167,-46.05,37.62,45,0,1.79
63,Albany,US,2021-09-27 19:59:19,42.6001,-73.9662,74.68,71,91,7.54
64,Guerrero Negro,MX,2021-09-27 19:59:20,27.9769,-114.0611,73.8,60,31,14.63
65,Fallon,US,2021-09-27 20:02:28,39.4735,-118.7774,83.43,14,40,4.61
66,Aklavik,CA,2021-09-27 20:02:29,68.2191,-135.0107,29.34,78,6,9.06
67,Hobart,AU,2021-09-27 19:59:10,-42.8794,147.3294,45.1,87,40,1.01
68,Cockburn Town,TC,2021-09-27 20:02:29,21.4612,-71.1419,82.94,71,2,3.83
69,Corinto,GR,2021-09-27 20:02:29,37.9407,22.9573,77.76,56,2,3.49
70,Puerto Ayora,EC,2021-09-27 20:02:30,-0.7393,-90.3518,69.4,89,84,10.69
71,Bexley,US,2021-09-27 20:02:30,39.9689,-82.9377,86.49,42,20,18.41
72,Tuatapere,NZ,2021-09-27 20:02:30,-46.1333,167.6833,42.82,73,86,5.32
73,Mackay,AU,2021-09-27 20:02:31,-21.15,149.2,69.04,69,100,13.87
74,Atuona,PF,2021-09-27 20:02:31,-9.8,-139.0333,77.81,74,21,19.19
75,Tskaltubo,GE,2021-09-27 20:02:31,42.3254,42.5979,56.34,88,40,2.3
76,Puerto Maldonado,PE,2021-09-27 19:58:29,-12.6,-69.1833,97.2,46,0,5.75
77,Hithadhoo,MV,2021-09-27 20:02:32,-0.6,73.0833,82.44,76,100,13.13
78,Busselton,AU,2021-09-27 20:02:32,-33.65,115.3333,51.08,92,52,8.93
79,Avarua,CK,2021-09-27 20:02:33,-21.2078,-159.775,77.05,78,20,4.61
80,Rio Verde De Mato Grosso,BR,2021-09-27 20:02:33,-18.9181,-54.8442,97.81,22,50,2.33
81,Gdynia,PL,2021-09-27 20:02:08,54.5189,18.5319,55.04,82,0,11.5
82,San Lorenzo De El Escorial,ES,2021-09-27 20:02:33,40.5914,-4.1474,68.16,66,15,0.74
83,Ahipara,NZ,2021-09-27 20:02:34,-35.1667,173.1667,53.96,62,57,11.14
84,Umm Kaddadah,SD,2021-09-27 20:02:34,13.6017,26.6876,89.53,33,86,5.79
85,Sassandra,CI,2021-09-27 20:02:34,4.95,-6.0833,75.15,94,100,6.91
86,Dikson,RU,2021-09-27 20:02:35,73.5069,80.5464,35.53,86,23,19.53
87,Leningradskiy,RU,2021-09-27 20:02:35,69.3833,178.4167,26.24,96,100,9.48
